question,answer,region,channel,issue
(281) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(282) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(283) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(284) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(285) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(286) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(287) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(288) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(289) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(290) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(291) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(292) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(293) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(294) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(295) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(296) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(297) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(298) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(299) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(300) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(301) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(302) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(303) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(304) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(305) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(306) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(307) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(308) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(309) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(310) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(311) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(312) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(313) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(314) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(315) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(316) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(317) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(318) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(319) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(320) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(321) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(322) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(323) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(324) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(325) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(326) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(327) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(328) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(329) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(330) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(331) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(332) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(333) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(334) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(335) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(336) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(337) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(338) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(339) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(340) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(341) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(342) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(343) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(344) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(345) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(346) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(347) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(348) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(349) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(350) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(351) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(352) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(353) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(354) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(355) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(356) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(357) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(358) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(359) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(360) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(361) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(362) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(363) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(364) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(365) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(366) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(367) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(368) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(369) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(370) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(371) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(372) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(373) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(374) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(375) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(376) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(377) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(378) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(379) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(380) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(381) How do I handle reset password via the web app?,"For reset password on the web app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(382) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(383) How do I handle upgrade plan via the email?,"For upgrade plan on the email, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(384) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(385) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(386) How do I handle update payment method via the web app?,"For update payment method on the web app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(387) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(388) How do I handle shipping delay via the email?,"For shipping delay on the email, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(389) How do I handle return request via the chat?,"For return request on the chat, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(390) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(391) How do I handle reset password via the web app?,"For reset password on the web app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(392) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(393) How do I handle upgrade plan via the email?,"For upgrade plan on the email, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(394) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(395) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(396) How do I handle update payment method via the web app?,"For update payment method on the web app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(397) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(398) How do I handle shipping delay via the email?,"For shipping delay on the email, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(399) How do I handle return request via the chat?,"For return request on the chat, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(400) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
(401) How do I handle reset password via the web app?,"For reset password on the web app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,web app,reset password
(402) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,mobile app,billing discrepancy
(403) How do I handle upgrade plan via the email?,"For upgrade plan on the email, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,email,upgrade plan
(404) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,chat,downgrade plan
(405) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,phone (enterprise),cancel subscription
(406) How do I handle update payment method via the web app?,"For update payment method on the web app, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,web app,update payment method
(407) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,mobile app,two-factor auth
(408) How do I handle shipping delay via the email?,"For shipping delay on the email, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,email,shipping delay
(409) How do I handle return request via the chat?,"For return request on the chat, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,chat,return request
(410) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,phone (enterprise),account locked
(411) How do I handle reset password via the web app?,"For reset password on the web app, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,web app,reset password
(412) How do I handle billing discrepancy via the mobile app?,"For billing discrepancy on the mobile app, use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,mobile app,billing discrepancy
(413) How do I handle upgrade plan via the email?,"For upgrade plan on the email, verify identity with the code we send and retry. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,email,upgrade plan
(414) How do I handle downgrade plan via the chat?,"For downgrade plan on the chat, submit shipment ID and carrier, then check tracking. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,chat,downgrade plan
(415) How do I handle cancel subscription via the phone (enterprise)?,"For cancel subscription on the phone (enterprise), attach proof of purchase and reason in the form. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,phone (enterprise),cancel subscription
(416) How do I handle update payment method via the web app?,"For update payment method on the web app, add a backup email and regenerate recovery codes. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,web app,update payment method
(417) How do I handle two-factor auth via the mobile app?,"For two-factor auth on the mobile app, open Settings > Security and follow the prompts. If it persists, open a ticket with logs, region=US, and a short description. Typical resolution: 24h.",US,mobile app,two-factor auth
(418) How do I handle shipping delay via the email?,"For shipping delay on the email, visit Billing > Payments and refresh your card on file. If it persists, open a ticket with logs, region=EU, and a short description. Typical resolution: 24h.",EU,email,shipping delay
(419) How do I handle return request via the chat?,"For return request on the chat, go to Plans and choose the desired tier, then confirm. If it persists, open a ticket with logs, region=APAC, and a short description. Typical resolution: 24h.",APAC,chat,return request
(420) How do I handle account locked via the phone (enterprise)?,"For account locked on the phone (enterprise), use the cancellation flow under Plans and give a reason. If it persists, open a ticket with logs, region=LATAM, and a short description. Typical resolution: 24h.",LATAM,phone (enterprise),account locked
